travelCosts,improvements,steps,pI,pR,maxCosts
50.555500183803474,1086.9418543942984,14800,0.01,0.0001,2.0
50.55104022484538,1091.3990563249038,15000,0.01,0.0001,2.0
50.527733091740636,1095.6618369866194,15200,0.01,0.0001,2.0
50.4327945587559,1098.9505139633154,15400,0.01,0.0001,2.0
50.38649046018387,1103.414122675371,15600,0.01,0.0001,2.0
50.27422130727884,1109.3432314686224,15800,0.01,0.0001,2.0
50.24830799785547,1112.986537505945,16000,0.01,0.0001,2.0
50.26702933268765,1116.732648990444,16200,0.01,0.0001,2.0
50.26463171361963,1120.1082205134562,16400,0.01,0.0001,2.0
50.03498563406299,1128.4292247348749,16600,0.01,0.0001,2.0
50.14186384051989,1130.4486834188592,16800,0.01,0.0001,2.0
50.02540371631934,1134.9635678024101,17000,0.01,0.0001,2.0
49.975762827756235,1140.1398919442609,17200,0.01,0.0001,2.0
49.89057981578138,1144.1656587583343,17400,0.01,0.0001,2.0
49.93098806725265,1147.0014069967565,17600,0.01,0.0001,2.0
49.91680026757786,1150.14769297427,17800,0.01,0.0001,2.0
49.90463789814753,1152.3439899189057,18000,0.01,0.0001,2.0
49.80930324331034,1156.937373124798,18200,0.01,0.0001,2.0
49.711977947039614,1162.3964518474886,18400,0.01,0.0001,2.0
49.754282028496185,1164.685685620677,18600,0.01,0.0001,2.0
49.783730369187964,1167.3575307337935,18800,0.01,0.0001,2.0
49.74731185539266,1169.7538891125414,19000,0.01,0.0001,2.0
49.7794405004499,1174.367603005261,19200,0.01,0.0001,2.0
49.72989651680174,1177.7691923175305,19400,0.01,0.0001,2.0
49.73025025764853,1180.5091283107658,19600,0.01,0.0001,2.0
49.76509011174687,1182.5890098109194,19800,0.01,0.0001,2.0
49.72516535087926,1188.086489268895,20000,0.01,0.0001,2.0
49.65902517886817,1189.6201859218802,20200,0.01,0.0001,2.0
49.67019344570448,1189.646193854748,20400,0.01,0.0001,2.0
49.68486321409465,1192.3507753255776,20600,0.01,0.0001,2.0
49.69821255703551,1196.2685698335395,20800,0.01,0.0001,2.0
49.629842661560694,1198.988272773216,21000,0.01,0.0001,2.0
49.70860723660184,1199.4113822882541,21200,0.01,0.0001,2.0
